Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
19,Válidamente emitidos,0,92978,92.97,0
19,Nulos,0,3365,3.36,0
19,Blancos,0,3662,3.66,0
19,Total,0,100005,100.0,0
20,Nueva Mayoría,2,114207,43.26,1
20,Partido Regionalista de los Independientes,2,5848,2.22,0
20,Partido Humanista,2,12360,4.68,0
20,Nueva Constitución para Chile,1,8113,3.07,0
20,"Si tú quieres, Chile cambia",2,20458,7.75,0
20,Alianza,2,84368,31.96,1
20,Válidamente emitidos,0,245354,92.94,0
20,Nulos,0,10005,3.79,0
20,Blancos,0,8637,3.27,0
20,Total,0,263996,100.0,0
21,Nueva Mayoría,2,73840,38.06,1
21,Nueva Constitución para Chile,2,13565,6.99,0
21,Alianza,2,78451,40.44,1
21,Candidatura Independiente,1,20029,10.32,0
21,Válidamente emitidos,0,185885,95.81,0
21,Nulos,0,4341,2.24,0
21,Blancos,0,3790,1.95,0
21,Total,0,194016,100.0,0
22,Partido Humanista,2,4701,3.87,0
22,Nueva Constitución para Chile,1,4370,3.6,0
22,"Si tú quieres, Chile cambia",2,6610,5.45,0
22,Alianza,2,43776,36.08,1
22,Candidatura Independiente,1,55259,45.54,1
22,Válidamente emitidos,0,114716,94.54,0
22,Nulos,0,2859,2.36,0
22,Blancos,0,3760,3.1,0
22,Total,0,121335,100.0,0
23,Nueva Mayoría,2,48560,20.6,0
23,Partido Regionalista de los Independientes,1,2581,1.09,0
23,Partido Humanista,1,6263,2.66,0
23,Nueva Constitución para Chile,2,5187,2.2,0
23,"Si tú quieres, Chile cambia",2,8028,3.41,0
23,Alianza,2,154474,65.53,2
23,Válidamente emitidos,0,225093,95.49,0
23,Nulos,0,4969,2.11,0
23,Blancos,0,5656,2.4,0
23,Total,0,235718,100.0,0
24,Nueva Mayoría,2,53237,37.54,1
24,Partido Humanista,2,14452,10.19,0
24,Nueva Constitución para Chile,2,5022,3.54,0
24,"Si tú quieres, Chile cambia",2,10408,7.34,0
24,Alianza,2,47592,33.56,1
24,Válidamente emitidos,0,130711,92.17,0
24,Nulos,0,5315,3.75,0
24,Blancos,0,5794,4.09,0
24,Total,0,141820,100.0,0
25,Nueva Mayoría,2,76688,54.2,2
25,Partido Humanista,2,5549,3.92,0
25,Nueva Constitución para Chile,2,4703,3.32,0
25,"Si tú quieres, Chile cambia",2,12112,8.56,0
25,Alianza,2,32518,22.98,0
25,Válidamente emitidos,0,131570,92.99,0
25,Nulos,0,5223,3.69,0
25,Blancos,0,4699,3.32,0
25,Total,0,141492,100.0,0
26,Nueva Mayoría,2,73478,48.11,1
26,Partido Regionalista de los Independientes,2,2780,1.82,0
26,Partido Humanista,1,4058,2.66,0
26,Nueva Constitución para Chile,2,4432,2.9,0
26,"Si tú quieres, Chile cambia",2,7021,4.6,0
26,Alianza,2,51782,33.91,1
26,Válidamente emitidos,0,143551,93.99,0
26,Nulos,0,4773,3.13,0
26,Blancos,0,4399,2.88,0
26,Total,0,152723,100.0,0
27,Nueva Mayoría,2,79724,54.07,2
27,Partido Humanista,2,4891,3.32,0
27,Nueva Constitución para Chile,1,5634,3.82,0
27,"Si tú quieres, Chile cambia",2,9669,6.56,0
27,Alianza,2,35916,24.36,0
27,Válidamente emitidos,0,135834,92.12,0
27,Nulos,0,5871,3.98,0
27,Blancos,0,5752,3.9,0
27,Total,0,147457,100.0,0
28,Nueva Mayoría,2,66669,47.38,1
28,Partido Humanista,2,6452,4.59,0
28,Nueva Constitución para Chile,1,5843,4.15,0
28,"Si tú quieres, Chile cambia",2,11260,8.0,0
28,Alianza,2,39861,28.33,1
28,Válidamente emitidos,0,130085,92.44,0
28,Nulos,0,5190,3.69,0
28,Blancos,0,5444,3.87,0
28,Total,0,140719,100.0,0
29,Nueva Mayoría,2,82018,37.96,1
29,Partido Humanista,1,7851,3.63,0
29,Nueva Constitución para Chile,2,13576,6.28,0
29,"Si tú quieres, Chile cambia",2,17119,7.92,0
29,Alianza,2,76751,35.52,1
29,Válidamente emitidos,0,197315,91.31,0
29,Nulos,0,8633,4.0,0
29,Blancos,0,10137,4.69,0
29,Total,0,216085,100.0,0
30,Nueva Mayoría,2,50369,31.88,1
30,Partido Humanista,2,4299,2.72,0
30,Nueva Constitución para Chile,2,5925,3.75,0
30,"Si tú quieres, Chile cambia",2,40852,25.86,0
30,Alianza,2,44389,28.1,1
30,Válidamente emitidos,0,145834,92.31,0
30,Nulos,0,5402,3.42,0
30,Blancos,0,6745,4.27,0
30,Total,0,157981,100.0,0
31,Nueva Mayoría,2,74427,43.61,1
31,Partido Humanista,2,5272,3.09,0
31,Nueva Constitución para Chile,2,5860,3.43,0
31,"Si tú quieres, Chile cambia",2,8385,4.91,0
31,Alianza,2,61384,35.97,1
31,Válidamente emitidos,0,155328,91.01,0
31,Nulos,0,6560,3.84,0
31,Blancos,0,8786,5.15,0
31,Total,0,170674,100.0,0
32,Nueva Mayoría,2,45572,50.03,1
32,Partido Humanista,2,4935,5.42,0
32,Alianza,2,34975,38.4,1
32,Válidamente emitidos,0,85482,93.84,0
32,Nulos,0,3008,3.3,0
32,Blancos,0,2599,2.85,0
32,Total,0,91089,100.0,0
33,Nueva Mayoría,2,62923,53.55,2
33,Partido Regionalista de los Independientes,1,5830,4.96,0
33,Partido Humanista,1,3651,3.11,0
33,"Si tú quieres, Chile cambia",2,4617,3.93,0
33,Alianza,2,29495,25.1,0
33,Válidamente emitidos,0,106516,90.65,0
33,Nulos,0,4285,3.65,0
33,Blancos,0,6700,5.7,0
33,Total,0,117501,100.0,0
34,Nueva Mayoría,2,20764,23.56,0
34,Partido Humanista,1,1300,1.48,0
34,"Si tú quieres, Chile cambia",2,2259,2.56,0
34,Alianza,2,23712,26.91,1
34,Candidatura Independiente,1,35012,39.73,1
34,Válidamente emitidos,0,83047,94.25,0
34,Nulos,0,1948,2.21,0
34,Blancos,0,3121,3.54,0
34,Total,0,88116,100.0,0
35,Nueva Mayoría,2,32064,45.95,1
35,Partido Humanista,2,3147,4.51,0
35,"Si tú quieres, Chile cambia",2,2801,4.01,0
35,Alianza,2,26397,37.83,1
35,Válidamente emitidos,0,64409,92.31,0
35,Nulos,0,1665,2.39,0
35,Blancos,0,3701,5.3,0
35,Total,0,69775,100.0,0
36,Nueva Mayoría,2,63737,52.57,1
36,Partido Humanista,2,4192,3.46,0
36,"Si tú quieres, Chile cambia",1,4052,3.34,0
36,Alianza,2,40773,33.63,1
36,Válidamente emitidos,0,112754,93.01,0
36,Nulos,0,4163,3.43,0
36,Blancos,0,4316,3.56,0
36,Total,0,121233,100.0,0
37,Nueva Mayoría,2,41965,47.12,1
37,Partido Humanista,1,2555,2.87,0
37,"Si tú quieres, Chile cambia",2,2633,2.96,0
37,Alianza,2,37283,41.87,1
37,Válidamente emitidos,0,84436,94.81,0
37,Nulos,0,2352,2.64,0
37,Blancos,0,2266,2.54,0
37,Total,0,89054,100.0,0
38,Nueva Mayoría,2,40997,54.22,1
38,Alianza,2,30113,39.83,1
38,Válidamente emitidos,0,71110,94.05,0
38,Nulos,0,2008,2.66,0
38,Blancos,0,2494,3.3,0
38,Total,0,75612,100.0,0
39,Nueva Mayoría,2,43782,53.66,1
39,Partido Humanista,1,1273,1.56,0
39,"Si tú quieres, Chile cambia",2,4007,4.91,0
39,Alianza,2,27766,34.03,1
39,Válidamente emitidos,0,76828,94.17,0
39,Nulos,0,2584,3.17,0
39,Blancos,0,2175,2.67,0
39,Total,0,81587,100.0,0
40,Nueva Mayoría,2,36544,51.88,1
40,Partido Humanista,1,1072,1.52,0
40,"Si tú quieres, Chile cambia",1,1027,1.46,0
40,Alianza,2,27631,39.23,1
40,Válidamente emitidos,0,66274,94.09,0
40,Nulos,0,1875,2.66,0
40,Blancos,0,2285,3.24,0
40,Total,0,70434,100.0,0
41,Nueva Mayoría,2,57613,45.96,1
41,Partido Humanista,1,4410,3.52,0
41,Nueva Constitución para Chile,1,4246,3.39,0
41,Alianza,2,49059,39.14,1
41,Válidamente emitidos,0,115328,92.0,0
41,Nulos,0,4222,3.37,0
41,Blancos,0,5800,4.63,0
41,Total,0,125350,100.0,0
42,Nueva Mayoría,2,63788,59.35,2
42,Nueva Constitución para Chile,1,3623,3.37,0
42,Alianza,2,30785,28.64,0
42,Válidamente emitidos,0,98196,91.36,0
42,Nulos,0,3363,3.13,0
42,Blancos,0,5920,5.51,0
42,Total,0,107479,100.0,0
43,Nueva Mayoría,2,52535,50.25,1
43,Partido Humanista,2,3396,3.25,0
43,Nueva Constitución para Chile,1,4499,4.3,0
43,"Si tú quieres, Chile cambia",1,6718,6.43,0
43,Alianza,2,29145,27.88,1
43,Válidamente emitidos,0,96293,92.11,0
43,Nulos,0,4394,4.2,0
43,Blancos,0,3851,3.68,0
43,Total,0,104538,100.0,0
44,Nueva Mayoría,2,77913,45.0,1
44,Partido Regionalista de los Independientes,1,4012,2.32,0
44,Partido Humanista,1,7370,4.26,0
44,Nueva Constitución para Chile,2,8687,5.02,0
44,"Si tú quieres, Chile cambia",2,7989,4.61,0
44,Alianza,2,55905,32.29,1
44,Válidamente emitidos,0,161876,93.5,0
44,Nulos,0,5785,3.34,0
44,Blancos,0,5475,3.16,0
44,Total,0,173136,100.0,0
45,Nueva Mayoría,2,59842,53.23,2
45,Partido Regionalista de los Independientes,1,1417,1.26,0
45,Partido Humanista,2,3561,3.17,0
45,Nueva Constitución para Chile,2,3304,2.94,0
45,"Si tú quieres, Chile cambia",1,3765,3.35,0
45,Alianza,2,28776,25.6,0
45,Candidatura Independiente,1,2038,1.81,0
45,Válidamente emitidos,0,102703,91.35,0
45,Nulos,0,4303,3.83,0
45,Blancos,0,5418,4.82,0
45,Total,0,112424,100.0,0
46,Nueva Mayoría,2,50948,53.08,1
46,Partido Humanista,1,3089,3.22,0
46,Nueva Constitución para Chile,1,2136,2.23,0
46,Alianza,2,31915,33.25,1
46,Válidamente emitidos,0,88088,91.77,0
46,Nulos,0,3338,3.48,0
46,Blancos,0,4563,4.75,0
46,Total,0,95989,100.0,0
47,Nueva Mayoría,2,69365,51.26,2
47,Nueva Constitución para Chile,2,3201,2.37,0
47,"Si tú quieres, Chile cambia",1,5366,3.97,0
47,Alianza,2,34656,25.61,0
47,Candidatura Independiente,1,10754,7.95,0
47,Válidamente emitidos,0,123342,91.15,0
47,Nulos,0,4325,3.2,0
47,Blancos,0,7652,5.65,0
47,Total,0,135319,100.0,0
48,Nueva Mayoría,2,31535,47.65,1
48,Partido Regionalista de los Independientes,1,3037,4.59,0
48,Alianza,2,27566,41.65,1
48,Válidamente emitidos,0,62138,93.9,0
48,Nulos,0,1760,2.66,0
48,Blancos,0,2280,3.45,0
48,Total,0,66178,100.0,0
49,Nueva Mayoría,2,35737,54.59,1
49,Partido Humanista,1,1049,1.6,0
49,"Si tú quieres, Chile cambia",1,1349,2.06,0
49,Alianza,2,22771,34.79,1
49,Válidamente emitidos,0,60906,93.04,0
49,Nulos,0,2006,3.06,0
49,Blancos,0,2550,3.9,0
49,Total,0,65462,100.0,0
50,Nueva Mayoría,2,67483,52.93,1
50,Partido Humanista,2,3323,2.61,0
50,"Si tú quieres, Chile cambia",2,4498,3.53,0
50,Alianza,2,44466,34.88,1
50,Válidamente emitidos,0,119770,93.95,0
50,Nulos,0,4299,3.37,0
50,Blancos,0,3420,2.68,0
50,Total,0,127489,100.0,0
51,Nueva Mayoría,2,30899,46.6,1
51,Partido Humanista,1,1511,2.28,0
51,Alianza,2,28202,42.54,1
51,Válidamente emitidos,0,60612,91.42,0
51,Nulos,0,2180,3.29,0
51,Blancos,0,3509,5.29,0
51,Total,0,66301,100.0,0
52,Nueva Mayoría,2,30540,47.33,1
52,Partido Humanista,1,1740,2.7,0
52,Alianza,2,28296,43.86,1
52,Válidamente emitidos,0,60576,93.89,0
52,Nulos,0,1674,2.59,0
52,Blancos,0,2270,3.52,0
52,Total,0,64520,100.0,0
53,Nueva Mayoría,2,43947,50.27,1
53,Partido Humanista,2,3428,3.92,0
53,Nueva Constitución para Chile,1,2631,3.01,0
53,"Si tú quieres, Chile cambia",1,3272,3.74,0
53,Alianza,2,27759,31.75,1
53,Válidamente emitidos,0,81037,92.7,0
53,Nulos,0,2344,2.68,0
53,Blancos,0,4037,4.62,0
53,Total,0,87418,100.0,0
54,Nueva Mayoría,2,38352,51.57,1
54,Partido Humanista,1,1625,2.19,0
54,Alianza,2,26224,35.26,1
54,Candidatura Independiente,1,3043,4.09,0
54,Válidamente emitidos,0,69244,93.11,0
54,Nulos,0,1777,2.39,0
54,Blancos,0,3348,4.5,0
54,Total,0,74369,100.0,0
55,Nueva Mayoría,2,40460,53.18,1
55,Partido Regionalista de los Independientes,2,2416,3.18,0
55,"Si tú quieres, Chile cambia",2,2333,3.07,0
55,Alianza,2,25168,33.08,1
55,Válidamente emitidos,0,70377,92.5,0
55,Nulos,0,2588,3.4,0
55,Blancos,0,3121,4.1,0
55,Total,0,76086,100.0,0
56,Nueva Mayoría,2,42770,56.99,1
56,Partido Regionalista de los Independientes,2,1526,2.03,0
56,"Si tú quieres, Chile cambia",2,1768,2.36,0
56,Alianza,2,21469,28.61,1
56,Candidatura Independiente,1,2359,3.14,0
56,Válidamente emitidos,0,69892,93.12,0
56,Nulos,0,1801,2.4,0
56,Blancos,0,3360,4.48,0
56,Total,0,75053,100.0,0
57,Nueva Mayoría,2,42754,46.43,1
57,Partido Regionalista de los Independientes,2,7878,8.55,0
57,Nueva Constitución para Chile,1,2806,3.05,0
57,"Si tú quieres, Chile cambia",1,5323,5.78,0
57,Alianza,2,25008,27.16,1
57,Válidamente emitidos,0,83769,90.97,0
57,Nulos,0,2774,3.01,0
57,Blancos,0,5545,6.02,0
57,Total,0,92088,100.0,0
58,Nueva Mayoría,2,31765,44.99,1
58,Partido Regionalista de los Independientes,2,2776,3.93,0
58,Nueva Constitución para Chile,1,3669,5.2,0
58,"Si tú quieres, Chile cambia",1,1730,2.45,0
58,Alianza,2,22794,32.29,1
58,Válidamente emitidos,0,62734,88.86,0
58,Nulos,0,1988,2.82,0
58,Blancos,0,5877,8.32,0
58,Total,0,70599,100.0,0
59,Nueva Mayoría,2,16655,44.14,1
59,Partido Regionalista de los Independientes,2,3139,8.32,0
59,Alianza,2,13953,36.98,1
59,Candidatura Independiente,1,2242,5.94,0
59,Válidamente emitidos,0,35989,95.38,0
59,Nulos,0,813,2.15,0
59,Blancos,0,931,2.47,0
59,Total,0,37733,100.0,0
60,Nueva Mayoría,2,18882,30.15,1
60,Partido Regionalista de los Independientes,2,840,1.34,0
60,Alianza,2,13122,20.95,0
60,Candidatura Independiente,1,15417,24.62,1
60,Candidatura Independiente,1,7999,12.77,0
60,Candidatura Independiente,1,2619,4.18,0
60,Válidamente emitidos,0,58879,94.03,0
60,Nulos,0,1624,2.59,0
60,Blancos,0,2117,3.38,0
60,Total,0,62620,100.0,0
