Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Bío-Bío,Partido Ecologista Verde,1,40379,6.51,0
Bío-Bío,Unión Patriótica,1,6291,1.01,0
Bío-Bío,Dignidad Ahora,1,10592,1.71,0
Bío-Bío,Frente Social Cristiano,4,65253,10.52,0
Bío-Bío,Apruebo Dignidad,4,71313,11.5,0
Bío-Bío,Independientes Unidos,1,16397,2.64,0
Bío-Bío,Válidamente emitidos,0,549093,88.54,0
Bío-Bío,Nulos,0,31720,5.11,0
Bío-Bío,Blancos,0,39332,6.34,0
Bío-Bío,Total,0,620145,100.0,0
Los Ríos,Chile Podemos +,4,53029,32.75,1
Los Ríos,Partido de la Gente,4,11833,7.31,0
Los Ríos,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Los Ríos,Nuevo Pacto Social,4,66537,41.09,2
Los Ríos,Partido Ecologista Verde,0,0,0.0,0
Los Ríos,Unión Patriótica,0,0,0.0,0
Los Ríos,Dignidad Ahora,0,0,0.0,0
Los Ríos,Frente Social Cristiano,0,0,0.0,0
Los Ríos,Apruebo Dignidad,2,13729,8.48,0
Los Ríos,Independientes Unidos,1,3525,2.18,0
Los Ríos,Válidamente emitidos,0,148653,91.81,0
Los Ríos,Nulos,0,5706,3.52,0
Los Ríos,Blancos,0,7555,4.67,0
Los Ríos,Total,0,161914,100.0,0
Los Lagos,Chile Podemos +,4,108022,32.64,2
Los Lagos,Partido de la Gente,4,29113,8.8,0
Los Lagos,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Los Lagos,Nuevo Pacto Social,4,98004,29.61,1
Los Lagos,Partido Ecologista Verde,1,16606,5.02,0
Los Lagos,Unión Patriótica,0,0,0.0,0
Los Lagos,Dignidad Ahora,0,0,0.0,0
Los Lagos,Frente Social Cristiano,0,0,0.0,0
Los Lagos,Apruebo Dignidad,3,33138,10.01,0
Los Lagos,Independientes Unidos,2,11290,3.41,0
Los Lagos,Válidamente emitidos,0,296173,89.48,0
Los Lagos,Nulos,0,13986,4.23,0
Los Lagos,Blancos,0,20826,6.29,0
Los Lagos,Total,0,330985,100.0,0
Magallanes,Chile Podemos +,3,18642,26.63,1
Magallanes,Partido de la Gente,2,3474,4.96,0
Magallanes,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Magallanes,Nuevo Pacto Social,2,2590,3.7,0
Magallanes,Partido Ecologista Verde,0,0,0.0,0
Magallanes,Unión Patriótica,0,0,0.0,0
Magallanes,Dignidad Ahora,1,981,1.4,0
Magallanes,Frente Social Cristiano,0,0,0.0,0
Magallanes,Apruebo Dignidad,2,8122,11.6,0
Magallanes,Independientes Unidos,0,0,0.0,0
Magallanes,Candidatura Independiente,1,31218,44.59,1
Magallanes,Válidamente emitidos,0,65027,92.89,0
Magallanes,Nulos,0,2443,3.49,0
Magallanes,Blancos,0,2538,3.63,0
Magallanes,Total,0,70008,100.0,0
